"DateTime";"DUQUE DE CAXIAS - XEREM"
"2021-05-08 05:00:00";321
"2021-05-08 06:00:00";117
"2021-05-08 07:00:00";64
"2021-05-08 08:00:00";14
"2021-05-08 09:00:00";56
"2021-05-08 10:00:00";56
"2021-05-08 11:00:00";16
"2021-05-08 12:00:00";128
"2021-05-08 13:00:00";153
"2021-05-08 14:00:00";254
"2021-05-08 15:00:00";236
"2021-05-08 16:00:00";355
"2021-05-08 17:00:00";14
"2021-05-08 18:00:00";95
"2021-05-08 19:00:00";60
"2021-05-08 20:00:00";9
"2021-05-08 21:00:00";354
"2021-05-08 22:00:00";67
"2021-05-08 23:00:00";55
"2021-05-09 00:00:00";79
"2021-05-09 01:00:00";97
"2021-05-09 02:00:00";141
"2021-05-09 03:00:00";28
"2021-05-09 04:00:00";325
"2021-05-09 05:00:00";157
"2021-05-09 06:00:00";55
"2021-05-09 07:00:00";149
"2021-05-09 08:00:00";120
"2021-05-09 09:00:00";154
"2021-05-09 10:00:00";134
"2021-05-09 11:00:00";128
"2021-05-09 12:00:00";61
"2021-05-09 13:00:00";358
"2021-05-09 14:00:00";193
"2021-05-09 15:00:00";118
"2021-05-09 16:00:00";127
"2021-05-09 17:00:00";147
"2021-05-09 18:00:00";169
"2021-05-09 19:00:00";81
"2021-05-09 20:00:00";182
"2021-05-09 21:00:00";141
"2021-05-09 22:00:00";53
"2021-05-09 23:00:00";228
"2021-05-10 00:00:00";127
"2021-05-10 01:00:00";126
"2021-05-10 02:00:00";188
"2021-05-10 03:00:00";108
"2021-05-10 04:00:00";94
"2021-05-10 05:00:00";79
"2021-05-10 06:00:00";144
"2021-05-10 07:00:00";90
"2021-05-10 08:00:00";90
"2021-05-10 09:00:00";112
"2021-05-10 10:00:00";117
"2021-05-10 11:00:00";85
"2021-05-10 12:00:00";55
"2021-05-10 13:00:00";34
"2021-05-10 14:00:00";338
"2021-05-10 15:00:00";308
"2021-05-10 16:00:00";189
"2021-05-10 17:00:00";99
"2021-05-10 18:00:00";72
"2021-05-10 19:00:00";158
"2021-05-10 20:00:00";78
"2021-05-10 21:00:00";118
"2021-05-10 22:00:00";188
"2021-05-10 23:00:00";119
"2021-05-11 00:00:00";120
"2021-05-11 01:00:00";121
"2021-05-11 02:00:00";120
"2021-05-11 03:00:00";130
"2021-05-11 04:00:00";108
"2021-05-11 05:00:00";205
"2021-05-11 06:00:00";111
"2021-05-11 07:00:00";116
"2021-05-11 08:00:00";136
"2021-05-11 09:00:00";151
"2021-05-11 10:00:00";132
"2021-05-11 11:00:00";107
"2021-05-11 12:00:00";303
"2021-05-11 13:00:00";304
"2021-05-11 14:00:00";318
"2021-05-11 15:00:00";289
"2021-05-11 16:00:00";338
"2021-05-11 17:00:00";350
"2021-05-11 18:00:00";306
"2021-05-11 19:00:00";258
"2021-05-11 20:00:00";11
"2021-05-11 21:00:00";43
"2021-05-11 22:00:00";132
"2021-05-11 23:00:00";127
"2021-05-12 00:00:00";123
"2021-05-12 01:00:00";166
"2021-05-12 02:00:00";119
"2021-05-12 03:00:00";132
"2021-05-12 04:00:00";105
"2021-05-12 05:00:00";113
"2021-05-12 06:00:00";112
"2021-05-12 07:00:00";130
"2021-05-12 08:00:00";106
"2021-05-12 09:00:00";100
"2021-05-12 10:00:00";139
"2021-05-12 11:00:00";357
"2021-05-12 12:00:00";8
"2021-05-12 13:00:00";272
"2021-05-12 14:00:00";307
"2021-05-12 15:00:00";276
"2021-05-12 16:00:00";290
"2021-05-12 17:00:00";194
"2021-05-12 18:00:00";143
"2021-05-12 19:00:00";148
"2021-05-12 20:00:00";242
"2021-05-12 21:00:00";189
"2021-05-12 22:00:00";160
"2021-05-12 23:00:00";252
"2021-05-13 00:00:00";123
"2021-05-13 01:00:00";268
"2021-05-13 02:00:00";357
"2021-05-13 03:00:00";268
"2021-05-13 04:00:00";103
"2021-05-13 05:00:00";158
"2021-05-13 06:00:00";94
"2021-05-13 07:00:00";12
"2021-05-13 08:00:00";13
"2021-05-13 09:00:00";134
"2021-05-13 10:00:00";61
"2021-05-13 11:00:00";44
"2021-05-13 12:00:00";63
"2021-05-13 13:00:00";57
"2021-05-13 14:00:00";96
"2021-05-13 15:00:00";22
"2021-05-13 16:00:00";203
"2021-05-13 17:00:00";18
"2021-05-13 18:00:00";324
"2021-05-13 19:00:00";164
"2021-05-13 20:00:00";64
"2021-05-13 21:00:00";55
"2021-05-13 22:00:00";74
"2021-05-13 23:00:00";357
"2021-05-14 00:00:00";60
"2021-05-14 01:00:00";73
"2021-05-14 02:00:00";115
"2021-05-14 03:00:00";23
"2021-05-14 04:00:00";184
"2021-05-14 05:00:00";36
"2021-05-14 06:00:00";81
"2021-05-14 07:00:00";309
"2021-05-14 08:00:00";133
"2021-05-14 09:00:00";67
"2021-05-14 10:00:00";354
"2021-05-14 11:00:00";105
"2021-05-14 12:00:00";50
"2021-05-14 13:00:00";49
"2021-05-14 14:00:00";280
"2021-05-14 15:00:00";178
"2021-05-14 16:00:00";52
"2021-05-14 17:00:00";111
"2021-05-14 18:00:00";126
